Sum of wage,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,Grand Total
0,,,,,,,,,,,,,,120.58,308.64,,,166.19,5144.03,569.8,219.48,216.05,395.4,534.73,92.59,118.71,481.97,396.52,,566.01,669.52,183.49,356.13,876.07,188.61,,356.13,467.96,525.88,,279.01,388.01,518.52,949.67,219.75,296.77,546.67,1336.42,531.81,1262.82,529.73,913.48,721.01,997.15,546.06,,1730.95,,368,,356.13,123.46,370.37,25940.28
1,,,,,,,,,,,,246.91,,,,256.79,194.44,,309.12,,,,118.71,,,856.38,,,311.51,1194.93,,379.87,194.44,,,,165.43,,,,,1780.63,,227.92,,,,356.13,,1464.53,726.5,,,,,,,,,,,,,8784.24
2,,,,,,,,,,,,93.28,189.93,142.45,498.58,446.34,1484.33,346.91,271.6,,248.79,227.92,1725.44,400.64,631.34,815.42,3048.51,1210.83,290.49,576.92,,1435.28,,,1614.44,445.39,303.89,469.13,498.58,,,1794.87,436.84,384.62,319.8,,1370.9,,,413.1,148.15,213.68,,308.64,704.46,197.53,1098.8,379.87,,,,166.19,,25353.88
3,,,,,,,,,,,,,,385.03,396.82,166.19,142.45,237.42,1201.85,1826.21,584.05,,,356.13,759.73,1244.65,308.64,284.9,1022.55,1260.1,227.92,809.77,740.74,262.74,1711.75,1179.01,237.42,1150.67,1237.88,1665.87,1384.8,830.96,,963.91,,1329.6,778.34,,1751.62,2473.72,1012.98,830.96,,,899.96,460.59,663.97,878.44,433.68,7716.05,160.99,,,41971.06
4,,,,,,,,,,,,213.68,159.07,815.79,,546.06,246.91,,560.99,309.4,292.81,787.23,185.19,,372.84,547.95,,1340.6,2421.38,231.48,,,1247.05,296.77,1139.6,890.31,641.7,484.33,752.08,178.06,301.52,237.42,1042.5,909.7,807.78,569.8,1552.7,1384.71,403.61,363.87,1045.58,284.9,467.95,1282.86,1591.3,605.53,,246.91,164.81,,,,,27924.73
5,,,,,,,,,,,213.68,,,178.33,,,638.65,,590.22,1044.63,468.11,1350.9,,1434,189.93,427.35,1018.74,639.12,1316.48,1320.99,2154.86,1542.67,1044.64,593.54,427.35,565.06,898.79,735.49,660.92,783.16,849.96,1547.48,1053.74,2702.73,716.5,1061.59,1229.3,1225.98,1962.31,726.49,379.87,1139.61,,1581.17,783.48,949.67,952.51,353.38,,,,,,39453.38
6,,,,,,,242.17,356.12,870.47,975.79,756.32,606.88,1433.5,2846.33,1063.23,3490.07,2917.37,2054.66,3602.44,2818.73,3642.6,2151.85,5832.29,3842.68,4518.36,3924.14,3588.69,3874.13,2796.27,2959.41,3185.16,1414.42,2557.71,3870.47,2550.39,1832.37,1085.11,2774.2,2060.23,2552.71,3916.3,3838.93,3648.3,1657.64,1785.37,2329.06,2660.83,1835.71,3068.1,3562.89,2006.18,1436.37,1270.69,401.24,2813.39,,,,142.45,,,,,121420.72
7,,,,,,200.62,694.48,296.77,,653.85,,1155.24,469.14,237.42,438.27,672,1126.09,629.63,664.3,3321.01,2203.22,2018.65,2036.28,148.15,2999.77,1523.07,1970.56,3350.51,1496.91,914.06,2037.99,2467.2,,2206.72,1408.77,2866.63,407.4,3158.61,2843.85,2306.26,1463.81,2028.93,4501.71,1804.01,4554.56,2247.28,3388.66,1405.51,2464.63,1333.44,2244.91,617.28,888.09,1514.07,2135.01,1215.66,,408.64,,,,,,83139.63
8,,,,,1217.64,1253.84,1456.57,1753.12,1612.17,2397.55,2600.22,1398.06,2002.15,1903.77,2849.29,3700.74,1137.26,636.75,4497.89,1784.8,1697.98,4203.53,5287.01,3063.07,5544.03,2181.93,7585.98,1231.01,2473.36,5930.33,4553.55,11564.92,5660.73,8999.69,8098.53,7743.75,4602.6,8618.87,11644.66,6696.97,16697.55,10884.85,13796.69,15500.94,9159.94,15076.5,9484.28,11812.02,11449.8,6457.49,5504.78,3704.65,5399.77,1274.35,3221.25,701.47,448.39,,,,,,,290159.04
