"Drug_Name","Year","Total Prescriptions","Total Patients","Total Cost","Out-Of-Pocket Cost","Total Cost Per Day","Out-Of-Pocket Cost Per Day"
"Atorvastatin",2013,"65,174,783","13,077,835","$71.26","$11.65","$1.51","$0.25"
"Atorvastatin",2014,"74,227,208","14,845,377","$72.21","$9.74","$1.51","$0.18"
"Atorvastatin",2015,"93,854,430","18,048,928","$67.63","$8.24","$1.69","$0.17"
"Atorvastatin",2016,"96,942,508","19,324,848","$73.32","$10.86","$1.46","$0.17"
"Atorvastatin",2017,"104,774,006","21,267,392","$61.34","$7.75","$1.28","$0.15"
"Atorvastatin",2018,"112,633,414","23,393,083","$50.91","$7.31","$1.00","$0.18"
"Atorvastatin",2019,"112,104,359","24,493,971","$40.05","$6.48","$0.63","$0.12"
"Atorvastatin",2020,"114,509,814","26,640,141","$15.67","$5.00","$0.25","$0.09"
"Atorvastatin",2021,"116,702,335","28,111,470","$19.58","$4.83","$0.24","$0.08"
"Atorvastatin",2022,"109,582,746","27,935,702","$19.00","$4.77","$0.28","$0.08"
"Metformin",2013,"77,245,209","13,580,367","$28.96","$7.72","$0.61","$0.17"
"Metformin",2014,"86,125,658","15,527,883","$25.28","$5.55","$0.51","$0.12"
"Metformin",2015,"83,901,899","15,914,944","$43.62","$4.84","$1.15","$0.10"
"Metformin",2016,"81,305,415","15,918,094","$42.54","$4.42","$0.77","$0.10"
"Metformin",2017,"78,602,870","15,876,254","$39.12","$4.47","$0.67","$0.10"
"Metformin",2018,"83,776,345","16,872,458","$29.76","$4.81","$0.64","$0.10"
"Metformin",2019,"85,739,443","17,430,765","$20.82","$4.23","$0.29","$0.08"
"Metformin",2020,"92,591,486","20,122,987","$11.07","$4.07","$0.17","$0.07"
"Metformin",2021,"91,151,043","19,883,763","$61.58","$4.40","$1.04","$0.07"
"Metformin",2022,"86,747,907","19,536,027","$70.33","$4.34","$1.14","$0.07"
"Lisinopril",2013,"104,868,249","19,339,900","$13.88","$5.44","$0.30","$0.11"
"Lisinopril",2014,"115,508,573","20,212,211","$13.93","$5.42","$0.29","$0.11"
"Lisinopril",2015,"112,003,281","20,539,445","$13.71","$4.21","$0.33","$0.09"
"Lisinopril",2016,"110,124,417","21,118,955","$15.70","$3.85","$0.31","$0.09"
"Lisinopril",2017,"104,779,318","20,012,066","$12.11","$4.04","$0.27","$0.09"
"Lisinopril",2018,"97,608,879","19,941,170","$13.07","$4.07","$0.24","$0.08"
"Lisinopril",2019,"91,862,708","19,990,170","$12.33","$4.45","$0.21","$0.08"
"Lisinopril",2020,"88,597,017","19,816,361","$8.44","$4.08","$0.15","$0.07"
"Lisinopril",2021,"88,272,557","20,475,892","$10.94","$3.93","$0.18","$0.07"
"Lisinopril",2022,"82,513,967","20,314,304","$10.54","$3.87","$0.19","$0.07"
"Levothyroxine",2013,"97,814,678","16,491,244","$17.42","$10.76","$0.34","$0.20"
"Levothyroxine",2014,"99,954,546","16,989,651","$21.50","$11.74","$0.40","$0.20"
"Levothyroxine",2015,"112,866,004","18,783,651","$25.75","$12.22","$0.61","$0.25"
"Levothyroxine",2016,"114,344,324","18,998,168","$27.02","$12.27","$0.55","$0.25"
"Levothyroxine",2017,"101,932,430","18,522,563","$26.39","$13.85","$0.52","$0.28"
"Levothyroxine",2018,"105,773,990","19,448,097","$25.14","$12.50","$0.50","$0.25"
"Levothyroxine",2019,"102,595,103","19,698,087","$25.10","$13.68","$0.45","$0.25"
"Levothyroxine",2020,"98,970,640","20,225,373","$25.95","$12.55","$0.45","$0.23"
"Levothyroxine",2021,"89,309,050","19,064,382","$23.92","$12.01","$0.45","$0.24"
"Levothyroxine",2022,"82,431,914","18,130,331","$22.05","$11.99","$0.39","$0.20"
"Amlodipine",2013,"62,816,160","11,513,217","$24.31","$6.81","$0.59","$0.15"
"Amlodipine",2014,"63,722,510","11,986,299","$22.67","$6.38","$0.48","$0.14"
"Amlodipine",2015,"70,986,227","13,717,742","$25.34","$4.67","$0.64","$0.10"
