dt,year,month,day,Average_Temperature
1/1/1980,1980,1,1,14.07
2/1/1980,1980,2,1,15.25
3/1/1980,1980,3,1,16.87
4/1/1980,1980,4,1,18.93
5/1/1980,1980,5,1,20.73
6/1/1980,1980,6,1,22.10
7/1/1980,1980,7,1,22.58
8/1/1980,1980,8,1,22.64
9/1/1980,1980,9,1,21.55
10/1/1980,1980,10,1,19.42
11/1/1980,1980,11,1,17.20
12/1/1980,1980,12,1,14.90
1/1/1981,1981,1,1,14.24
2/1/1981,1981,2,1,15.22
3/1/1981,1981,3,1,17.52
4/1/1981,1981,4,1,18.87
5/1/1981,1981,5,1,20.73
6/1/1981,1981,6,1,22.06
7/1/1981,1981,7,1,22.56
8/1/1981,1981,8,1,22.67
9/1/1981,1981,9,1,21.57
10/1/1981,1981,10,1,19.46
11/1/1981,1981,11,1,17.03
12/1/1981,1981,12,1,15.07
1/1/1982,1982,1,1,14.32
2/1/1982,1982,2,1,14.90
3/1/1982,1982,3,1,16.86
4/1/1982,1982,4,1,18.73
5/1/1982,1982,5,1,20.80
6/1/1982,1982,6,1,22.07
7/1/1982,1982,7,1,22.77
8/1/1982,1982,8,1,22.61
9/1/1982,1982,9,1,21.77
10/1/1982,1982,10,1,19.38
11/1/1982,1982,11,1,16.96
12/1/1982,1982,12,1,15.06
1/1/1983,1983,1,1,14.77
2/1/1983,1983,2,1,15.03
3/1/1983,1983,3,1,17.26
4/1/1983,1983,4,1,19.21
5/1/1983,1983,5,1,21.16
6/1/1983,1983,6,1,22.17
7/1/1983,1983,7,1,23.29
8/1/1983,1983,8,1,22.81
9/1/1983,1983,9,1,21.73
10/1/1983,1983,10,1,19.39
11/1/1983,1983,11,1,17.25
12/1/1983,1983,12,1,15.07
1/1/1984,1984,1,1,14.39
2/1/1984,1984,2,1,14.83
3/1/1984,1984,3,1,16.76
4/1/1984,1984,4,1,18.88
5/1/1984,1984,5,1,20.71
6/1/1984,1984,6,1,21.76
7/1/1984,1984,7,1,22.55
8/1/1984,1984,8,1,22.59
9/1/1984,1984,9,1,21.33
10/1/1984,1984,10,1,19.57
11/1/1984,1984,11,1,17.15
12/1/1984,1984,12,1,14.66
1/1/1985,1985,1,1,13.62
2/1/1985,1985,2,1,14.35
3/1/1985,1985,3,1,16.62
4/1/1985,1985,4,1,18.75
5/1/1985,1985,5,1,20.94
6/1/1985,1985,6,1,21.85
7/1/1985,1985,7,1,22.64
8/1/1985,1985,8,1,22.79
9/1/1985,1985,9,1,21.48
10/1/1985,1985,10,1,19.33
11/1/1985,1985,11,1,16.85
12/1/1985,1985,12,1,15.17
1/1/1986,1986,1,1,14.40
2/1/1986,1986,2,1,14.41
3/1/1986,1986,3,1,16.75
4/1/1986,1986,4,1,18.92
5/1/1986,1986,5,1,21.02
6/1/1986,1986,6,1,22.12
7/1/1986,1986,7,1,22.60
8/1/1986,1986,8,1,22.73
9/1/1986,1986,9,1,21.35
10/1/1986,1986,10,1,19.45
11/1/1986,1986,11,1,17.04
12/1/1986,1986,12,1,14.82
1/1/1987,1987,1,1,13.85
2/1/1987,1987,2,1,15.57
3/1/1987,1987,3,1,16.34
4/1/1987,1987,4,1,19.09
5/1/1987,1987,5,1,20.85
6/1/1987,1987,6,1,22.11
7/1/1987,1987,7,1,23.19
8/1/1987,1987,8,1,22.86
9/1/1987,1987,9,1,22.04
10/1/1987,1987,10,1,19.56
11/1/1987,1987,11,1,17.52
12/1/1987,1987,12,1,15.63
1/1/1988,1988,1,1,15.13
2/1/1988,1988,2,1,15.61
3/1/1988,1988,3,1,17.08
4/1/1988,1988,4,1,19.06
