Year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,Annual_Avg,Inflation_Rate
1999,164.3,164.5,165,166.2,166.2,166.2,166.7,167.1,167.9,168.2,168.3,168.3,166.6,2.2
2000,168.8,169.8,171.2,171.3,171.5,172.4,172.8,172.8,173.7,174,174.1,174,172.2,3.4
2001,175.1,175.8,176.2,176.9,177.7,178,177.5,177.5,178.3,177.7,177.4,176.7,177.1,2.8
2002,177.1,177.8,178.8,179.8,179.8,179.9,180.1,180.7,181,181.3,181.3,180.9,179.9,1.6
2003,181.7,183.1,184.2,183.8,183.5,183.7,183.9,184.6,185.2,185,184.5,184.3,184,2.3
2004,185.2,186.2,187.4,188,189.1,189.7,189.4,189.5,189.9,190.9,191,190.3,188.9,2.7
2005,190.7,191.8,193.3,194.6,194.4,194.5,195.4,196.4,198.8,199.2,197.6,196.8,195.3,3.4
2006,198.3,198.7,199.8,201.5,202.5,202.9,203.5,203.9,202.9,201.8,201.5,201.8,201.6,3.2
2007,202.4,203.5,205.4,206.7,207.9,208.4,208.3,207.9,208.5,208.9,210.2,210,207.3,2.8
2008,211.1,211.7,213.5,214.8,216.6,218.8,219.96,219.09,218.78,216.57,212.43,210.23,215.3,3.8
2009,211.14,212.19,212.71,213.24,213.86,215.69,215.35,215.83,215.97,216.18,216.33,215.95,214.54,-0.4
2010,216.69,216.74,217.63,218.01,218.18,217.97,218.01,218.31,218.44,218.71,218.8,219.18,218.06,1.6
2011,220.22,221.31,223.47,224.91,225.96,225.72,225.92,226.55,226.89,226.42,226.23,225.67,224.94,3.2
2012,226.66,227.66,229.39,230.09,229.82,229.48,229.1,230.38,231.41,231.32,230.22,229.6,229.59,2.1
2013,230.28,232.17,232.77,232.53,232.95,233.5,233.6,233.88,234.15,233.55,233.07,233.05,232.96,1.5
2014,233.92,234.78,236.29,237.07,237.9,238.34,238.25,237.85,238.03,237.43,236.15,234.81,236.74,1.6
2015,233.71,234.72,236.12,236.6,237.81,238.64,238.65,238.32,237.95,237.84,237.34,236.53,237.02,0.1
2016,236.92,237.11,238.13,239.26,240.24,241.04,240.65,240.85,241.43,241.73,241.35,241.43,240.01,1.3
2017,242.84,243.6,243.8,244.52,244.73,244.96,244.79,245.52,246.82,246.66,246.67,246.52,245.12,2.1
2018,247.87,248.99,249.55,250.55,251.59,251.99,252.01,252.15,252.44,252.89,252.04,251.23,251.11,2.4
2019,251.71,252.78,254.2,255.55,256.09,256.14,256.57,256.56,256.76,257.35,257.21,256.97,255.66,1.8
2020,257.97,258.68,258.12,256.39,256.39,257.8,259.1,259.92,260.28,260.39,260.23,260.47,258.81,1.2
2021,261.58,263.01,264.88,267.05,269.2,271.7,273,273.57,274.31,276.59,277.95,278.8,270.97,4.7
2022,281.15,283.72,287.5,289.11,292.3,296.31,296.28,296.17,296.81,298.01,297.71,296.8,292.66,8
2023,299.17,300.84,301.84,303.36,304.13,305.11,305.69,307.03,307.79,307.67,307.05,306.75,304.7,4.1
2024,308.42,310.33,312.33,313.55,314.07,314.18,314.54,314.8,N/A,N/A,N/A,N/A,314.4,3.2
