YEAR,STATE,RATE,DEATHS,URL
2022,AL,25.5,"1,278",/nchs/pressroom/states/alabama/al.htm
2022,AK,22.4,164,/nchs/pressroom/states/alaska/ak.htm
2022,AZ,20.1,"1,535",/nchs/pressroom/states/arizona/az.htm
2022,AR,21.9,666,/nchs/pressroom/states/arkansas/ar.htm
2022,CA,8.6,"3,484",/nchs/pressroom/states/california/ca.htm
2022,CO,17.1,"1,036",/nchs/pressroom/states/colorado/co.htm
2022,CT,6.9,252,/nchs/pressroom/states/connecticut/ct.htm
2022,DE,11.9,124,/nchs/pressroom/states/delaware/de.htm
2022,District of Columbia,21.4,154,/nchs/pressroom/states/DC/DC1.htm
2022,FL,14,"3,232",/nchs/pressroom/states/florida/fl.htm
2022,GA,19.7,"2,163",/nchs/pressroom/states/georgia/ga.htm
2022,HI,4.5,66,/nchs/pressroom/states/hawaii/hi.htm
2022,ID,17,338,/nchs/pressroom/states/idaho/id.htm
2022,IL,14.4,"1,798",/nchs/pressroom/states/illinois/il.htm
2022,IN,17.4,"1,211",/nchs/pressroom/states/indiana/in.htm
2022,IA,11.2,367,/nchs/pressroom/states/iowa/ia.htm
2022,KS,16.8,492,/nchs/pressroom/states/kansas/ks.htm
2022,KY,18.8,840,/nchs/pressroom/states/kentucky/ky.htm
2022,LA,28.2,"1,266",/nchs/pressroom/states/louisiana/la.htm
2022,ME,11.7,179,/nchs/pressroom/states/maine/me.htm
2022,MD,13.6,813,/nchs/pressroom/states/maryland/md.htm
2022,MA,3.7,263,/nchs/pressroom/states/massachusetts/ma.htm
2022,MI,15,"1,504",/nchs/pressroom/states/michigan/mi.htm
2022,MN,9.6,561,/nchs/pressroom/states/minnesota/mn.htm
2022,MS,29.6,848,/nchs/pressroom/states/mississippi/ms.htm
2022,MO,24.2,"1,489",/nchs/pressroom/states/missouri/mo.htm
2022,MT,23.9,274,/nchs/pressroom/states/montana/mt.htm
2022,NE,12.2,244,/nchs/pressroom/states/nebraska/ne.htm
2022,NV,18.9,618,/nchs/pressroom/states/nevada/nv.htm
2022,NH,10.1,156,/nchs/pressroom/states/newhampshire/nh.htm
2022,NJ,5,468,/nchs/pressroom/states/newjersey/nj.htm
2022,NM,27.3,571,/nchs/pressroom/states/newmexico/nm.htm
2022,NY,5.3,"1,044",/nchs/pressroom/states/newyork/ny.htm
2022,NC,16.8,"1,831",/nchs/pressroom/states/northcarolina/nc.htm
2022,ND,16.4,125,/nchs/pressroom/states/northdakota/nd.htm
2022,OH,15.6,"1,831",/nchs/pressroom/states/ohio/oh.htm
2022,OK,19.8,797,/nchs/pressroom/states/oklahoma/ok.htm
2022,OR,14.4,655,/nchs/pressroom/states/oregon/or.htm
2022,PA,14.7,"1,941",/nchs/pressroom/states/pennsylvania/pa.htm
2022,RI,3.1,37,/nchs/pressroom/states/rhodeisland/ri.htm
2022,SC,20.8,"1,105",/nchs/pressroom/states/southcarolina/sc.htm
2022,SD,15.7,141,/nchs/pressroom/states/southdakota/sd.htm
2022,TN,20.5,"1,480",/nchs/pressroom/states/tennessee/tn.htm
2022,TX,15.3,"4,630",/nchs/pressroom/states/texas/tx.htm
2022,UT,13.7,446,/nchs/pressroom/states/utah/ut.htm
2022,VT,12,84,/nchs/pressroom/states/vermont/vt.htm
2022,VA,14.9,"1,316",/nchs/pressroom/states/virginia/va.htm
2022,WA,12.4,"1,022",/nchs/pressroom/states/washington/wa.htm
2022,WV,16.2,311,/nchs/pressroom/states/westvirginia/wv.htm
2022,WI,14,830,/nchs/pressroom/states/wisconsin/wi.htm
2022,WY,20.4,124,/nchs/pressroom/states/wyoming/wy.htm
2021,AL,26.4,"1,315",/nchs/pressroom/states/alabama/al.htm
2021,AK,25.2,182,/nchs/pressroom/states/alaska/ak.htm
2021,AZ,18.3,"1,365",/nchs/pressroom/states/arizona/az.htm
2021,AR,23.3,698,/nchs/pressroom/states/arkansas/ar.htm
2021,CA,9,"3,576",/nchs/pressroom/states/california/ca.htm
2021,CO,17.8,"1,064",/nchs/pressroom/states/colorado/co.htm
2021,CT,6.7,248,/nchs/pressroom/states/connecticut/ct.htm
2021,DE,16.6,158,/nchs/pressroom/states/delaware/de.htm
2021,FL,14.1,"3,142",/nchs/pressroom/states/florida/fl.htm
2021,GA,20.3,"2,200",/nchs/pressroom/states/georgia/ga.htm
2021,HI,4.8,71,/nchs/pressroom/states/hawaii/hi.htm
2021,ID,16.3,309,/nchs/pressroom/states/idaho/id.htm
2021,IL,16.1,"1,995",/nchs/pressroom/states/illinois/il.htm
