Job Title,Level,Job Title Full,Salary Estimate,Salary_Min,Salary_Max,Salary_Avg,Rating,Company Name,Glassdoor_Rating,Location,Location_State,Company_Headquarters,Company_Size,Founded,Type of ownership,Industry,Sector,Revenue (USD)
Analytics Manager,,,$59K-$116K ,"$59,000","$116,000 ","$87,500 ",4.3,"OneMagnify
",4.3,"Dearborn, MI",MI,"Detroit, MI",201 to 500 employees,1967,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Analytics Manager,,,$59K-$116K ,"$59,000","$116,000 ","$87,500 ",4.3,"OneMagnify
",4.3,"Dearborn, MI",MI,"Detroit, MI",201 to 500 employees,1967,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Analytics Manager,,,$42K-$86K ,"$42,000","$86,000 ","$64,000 ",3.5,"Central California Alliance for Health
",3.5,"Scotts Valley, CA",CA,"Scotts Valley, CA",501 to 1000 employees,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion 
Analytics Manager,,,$42K-$86K ,"$42,000","$86,000 ","$64,000 ",3.5,"Central California Alliance for Health
",3.5,"Scotts Valley, CA",CA,"Scotts Valley, CA",501 to 1000 employees,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion 
Analytics Manager,,,$42K-$86K ,"$42,000","$86,000 ","$64,000 ",3.5,"Central California Alliance for Health
",3.5,"Scotts Valley, CA",CA,"Scotts Valley, CA",501 to 1000 employees,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion 
Analytics Manager,,,$42K-$86K ,"$42,000","$86,000 ","$64,000 ",3.5,"Central California Alliance for Health
",3.5,"Scotts Valley, CA",CA,"Scotts Valley, CA",501 to 1000 employees,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion 
"Associate Director/Director, Safety Scientist",Director,,$102K-$178K ,"$102,000","$178,000 ","$140,000 ",4.4,"Acceleron Pharma
",4.4,"Cambridge, MA",MA,"Cambridge, MA",201 to 500 employees,2003,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
"Associate Director/Director, Safety Scientist",Director,,$102K-$178K ,"$102,000","$178,000 ","$140,000 ",4.4,"Acceleron Pharma
",4.4,"Cambridge, MA",MA,"Cambridge, MA",201 to 500 employees,2003,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Associate Environmental Scientist - Wildlife Biologist,Associate,,$38K-$64K ,"$38,000","$64,000 ","$51,000 ",4.7,"QK
",4.7,"Clovis, CA",CA,"Visalia, CA",51 to 200 employees,1972,Company - Private,Architectural & Engineering Services,Business Services,$10 to $25 million 
Associate Environmental Scientist - Wildlife Biologist,Associate,,$38K-$64K ,"$38,000","$64,000 ","$51,000 ",4.7,"QK
",4.7,"Clovis, CA",CA,"Visalia, CA",51 to 200 employees,1972,Company - Private,Architectural & Engineering Services,Business Services,$10 to $25 million 
"Associate Principal Scientist, Pharmacogenomics",Associate,,$63K-$127K ,"$63,000","$127,000 ","$95,000 ",3.9,"AstraZeneca
",3.9,"Gaithersburg, MD",MD,"Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion 
"Associate Principal Scientist, Pharmacogenomics",Associate,,$63K-$127K ,"$63,000","$127,000 ","$95,000 ",3.9,"AstraZeneca
",3.9,"Gaithersburg, MD",MD,"Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion 
